16.73 nsec,1.876  V,-386.6 uV
16.78 nsec,2.021  V,-473.6 uV
16.83 nsec,2.170  V,-583.9 uV
16.88 nsec,2.318  V,-763.7 uV
16.93 nsec,2.466  V,-1.045 mV
16.98 nsec,2.617  V,-1.468 mV
17.03 nsec,2.742  V,-2.034 mV
17.08 nsec,2.825  V,-2.497 mV
17.12 nsec,2.871  V,-2.668 mV
17.16 nsec,2.896  V,-2.654 mV
17.20 nsec,2.917  V,-1.873 mV
17.25 nsec,2.932  V,222.3 uV
17.30 nsec,2.942  V,2.583 mV
17.35 nsec,2.947  V,3.789 mV
17.40 nsec,2.949  V,2.980 mV
17.45 nsec,2.950  V,1.216 mV
17.50 nsec,2.951  V,565.0 uV
17.55 nsec,2.951  V,278.6 uV
17.60 nsec,2.951  V,-515.6 uV
17.65 nsec,2.952  V,-870.6 uV
17.70 nsec,2.954  V,-908.2 uV
17.75 nsec,2.956  V,-788.3 uV
17.80 nsec,2.958  V,-804.6 uV
17.85 nsec,2.958  V,-810.5 uV
17.90 nsec,2.956  V,-279.5 uV
17.95 nsec,2.950  V,624.0 uV
18.00 nsec,2.954  V,1.267 mV
18.05 nsec,2.932  V,1.637 mV
18.08 nsec,2.886  V,1.873 mV
18.11 nsec,2.833  V,2.030 mV
18.16 nsec,2.728  V,1.791 mV
18.21 nsec,2.613  V,1.407 mV
18.26 nsec,2.488  V,1.044 mV
18.31 nsec,2.355  V,13.47 uV
18.36 nsec,2.218  V,-1.660 mV
18.41 nsec,2.076  V,-3.482 mV
18.46 nsec,1.933  V,-5.301 mV
18.51 nsec,1.789  V,-7.111 mV
18.56 nsec,1.647  V,-8.286 mV
18.61 nsec,1.502  V,-8.608 mV
18.66 nsec,1.354  V,-5.444 mV
18.71 nsec,1.204  V,6.727 mV
18.76 nsec,1.053  V,23.00 mV
18.81 nsec,901.3 mV,35.72 mV
18.86 nsec,749.2 mV,49.26 mV
18.91 nsec,597.1 mV,70.45 mV
18.96 nsec,444.6 mV,102.3 mV
19.01 nsec,320.7 mV,153.8 mV
19.06 nsec,241.9 mV,246.7 mV
19.11 nsec,191.2 mV,430.0 mV
19.16 nsec,160.0 mV,817.7 mV
19.21 nsec,140.9 mV,1.384  V
19.26 nsec,129.0 mV,1.846  V
19.31 nsec,121.5 mV,2.063  V
19.36 nsec,117.1 mV,2.138  V
19.40 nsec,114.3 mV,2.174  V
19.45 nsec,112.9 mV,2.192  V
19.50 nsec,113.7 mV,2.199  V
19.55 nsec,116.6 mV,2.203  V
19.60 nsec,120.1 mV,2.203  V
19.65 nsec,122.2 mV,2.201  V
19.70 nsec,121.9 mV,2.198  V
19.75 nsec,120.3 mV,2.196  V
19.80 nsec,119.0 mV,2.194  V
19.85 nsec,117.7 mV,2.191  V
19.90 nsec,116.2 mV,2.190  V
19.95 nsec,115.2 mV,2.189  V
20.00 nsec,114.7 mV,2.186  V
20.05 nsec,114.5 mV,2.180  V
20.10 nsec,114.4 mV,2.172  V
20.15 nsec,114.6 mV,2.160  V
20.20 nsec,115.6 mV,2.147  V
20.25 nsec,117.0 mV,2.140  V
20.30 nsec,118.4 mV,2.142  V
20.35 nsec,119.6 mV,2.153  V
20.40 nsec,120.4 mV,2.161  V
20.45 nsec,120.4 mV,2.155  V
20.50 nsec,120.0 mV,2.130  V
20.55 nsec,119.1 mV,2.066  V
20.60 nsec,117.0 mV,1.914  V
20.65 nsec,113.8 mV,1.605  V
20.70 nsec,109.9 mV,1.123  V
20.75 nsec,105.8 mV,607.3 mV
20.80 nsec,102.1 mV,287.8 mV
20.85 nsec,99.89 mV,168.5 mV
20.90 nsec,98.98 mV,103.4 mV
20.93 nsec,98.71 mV,75.76 mV
